id|gloss|text
P05_S014_R03|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P01_S015_R01|KAMU PERGI MANA|Kemana kamu mau pergi?
P02_S015_R01|KAMU PERGI MANA|Kemana kamu mau pergi?
P03_S015_R01|KAMU PERGI MANA|Kemana kamu mau pergi?
P04_S015_R01|KAMU PERGI MANA|Kemana kamu mau pergi?
P05_S015_R01|KAMU PERGI MANA|Kemana kamu mau pergi?
P01_S015_R02|KAMU PERGI MANA|Kemana kamu mau pergi?
P02_S015_R02|KAMU PERGI MANA|Kemana kamu mau pergi?
P03_S015_R02|KAMU PERGI MANA|Kemana kamu mau pergi?
P04_S015_R02|KAMU PERGI MANA|Kemana kamu mau pergi?
P05_S015_R02|KAMU PERGI MANA|Kemana kamu mau pergi?
P01_S015_R03|KAMU PERGI MANA|Kemana kamu mau pergi?
P02_S015_R03|KAMU PERGI MANA|Kemana kamu mau pergi?
P03_S015_R03|KAMU PERGI MANA|Kemana kamu mau pergi?
P04_S015_R03|KAMU PERGI MANA|Kemana kamu mau pergi?
P05_S015_R03|KAMU PERGI MANA|Kemana kamu mau pergi?
P01_S016_R01|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P02_S016_R01|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P03_S016_R01|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P04_S016_R01|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P05_S016_R01|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P01_S016_R02|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P02_S016_R02|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P03_S016_R02|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P04_S016_R02|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P05_S016_R02|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P01_S016_R03|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P02_S016_R03|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P03_S016_R03|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P04_S016_R03|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P05_S016_R03|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P01_S017_R01|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P02_S017_R01|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P03_S017_R01|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P04_S017_R01|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P05_S017_R01|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P01_S017_R02|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P02_S017_R02|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P03_S017_R02|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P04_S017_R02|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P05_S017_R02|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P01_S017_R03|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P02_S017_R03|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P03_S017_R03|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P04_S017_R03|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P05_S017_R03|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P01_S018_R01|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P02_S018_R01|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P03_S018_R01|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P04_S018_R01|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P05_S018_R01|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P01_S018_R02|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P02_S018_R02|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P03_S018_R02|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P04_S018_R02|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P05_S018_R02|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P01_S018_R03|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P02_S018_R03|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P03_S018_R03|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P04_S018_R03|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P05_S018_R03|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P01_S019_R01|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P02_S019_R01|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P03_S019_R01|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P04_S019_R01|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P05_S019_R01|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P01_S019_R02|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P02_S019_R02|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P03_S019_R02|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P04_S019_R02|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P05_S019_R02|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P01_S019_R03|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P02_S019_R03|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P03_S019_R03|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P04_S019_R03|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P05_S019_R03|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P01_S020_R01|OBAT BISA BELI TOKO MANA|Di apotek mana obat ini bisa dibeli?
P02_S020_R01|OBAT BISA BELI TOKO MANA|Di apotek mana obat ini bisa dibeli?
P03_S020_R01|OBAT BISA BELI TOKO MANA|Di apotek mana obat ini bisa dibeli?
P04_S020_R01|OBAT BISA BELI TOKO MANA|Di apotek mana obat ini bisa dibeli?
